"Stock Id To Stock Name","Stock Id To Stock Name"
"Convert Group Id To Group Code","Convert Group Id To Group Code"
"Product Id To SKU","Product Id To SKU"
"Price Type Value to Price Type Label","Price Type Value to Price Type Label"
"Type Value to Type Label","Type Value to Type Label"
"Status Id To Status Code","Status Id To Status Code"
"All Websites","All Websites"
"Website Id To Website Code","Website Id To Website Code"
fixed,fixed
percent,percent
dynamic,dynamic
